Color Name
Army Green
Black
Blue
Neon Green
Brown
Copper
Cyan
Dark Blue
Dark Grey
Dark Purple
Dark red
Dark Silver
Gold
Green
Grey
Light Blue
Light Brown
Light Green
Neon GReen
Neon Orange
Neon pink
orange
pink
purple
red
silver
white
Yellow
Unknown
